aspect_ratio,elongation,rotational_transform,n_field_periods,triangularity,generation_method,success,error_message
2.5,0.3,0.2,6,-0.3,systematic,False,VMEC convergence failed
2.5,0.3,0.30000000000000004,4,0.020000000000000018,systematic,False,VMEC convergence failed
2.5,0.3,0.5,2,-0.3,systematic,False,VMEC convergence failed
2.5,0.3,0.5,3,0.18,systematic,False,VMEC convergence failed
2.5,0.3,0.5,5,0.020000000000000018,systematic,False,VMEC convergence failed
2.5,0.3,0.6000000000000001,6,0.020000000000000018,systematic,False,VMEC convergence failed
2.5,0.3,0.8,4,-0.3,systematic,False,VMEC convergence failed
2.5,0.3,0.8,4,0.18,systematic,False,VMEC convergence failed
2.5,0.5428571428571428,0.2,3,-0.3,systematic,False,VMEC convergence failed
2.5,0.5428571428571428,0.2,4,-0.13999999999999999,systematic,False,VMEC convergence failed
2.5,0.5428571428571428,0.2,5,0.18,systematic,False,VMEC convergence failed
2.5,0.5428571428571428,0.2,6,0.5,systematic,False,VMEC convergence failed
2.5,0.5428571428571428,0.30000000000000004,4,0.020000000000000018,systematic,False,VMEC convergence failed
2.5,0.5428571428571428,0.30000000000000004,6,0.5,systematic,False,VMEC convergence failed
2.5,0.5428571428571428,0.4,3,0.5,systematic,False,VMEC convergence failed
2.5,0.5428571428571428,0.5,3,-0.3,systematic,False,VMEC convergence failed
2.5,0.5428571428571428,0.6000000000000001,6,0.18,systematic,False,VMEC convergence failed
2.5,0.5428571428571428,0.7000000000000002,2,0.18,systematic,False,VMEC convergence failed
2.5,0.5428571428571428,0.7000000000000002,6,0.020000000000000018,systematic,False,VMEC convergence failed
2.5,0.5428571428571428,0.7000000000000002,6,0.5,systematic,False,VMEC convergence failed
2.5,0.5428571428571428,0.8,2,0.020000000000000018,systematic,False,VMEC convergence failed
2.5,0.7857142857142857,0.2,5,0.020000000000000018,systematic,False,VMEC convergence failed
2.5,0.7857142857142857,0.30000000000000004,2,-0.3,systematic,False,VMEC convergence failed
2.5,0.7857142857142857,0.5,5,-0.13999999999999999,systematic,False,VMEC convergence failed
2.5,0.7857142857142857,0.5,5,0.5,systematic,False,VMEC convergence failed
2.5,0.7857142857142857,0.6000000000000001,4,-0.3,systematic,False,VMEC convergence failed
2.5,0.7857142857142857,0.6000000000000001,5,-0.3,systematic,False,VMEC convergence failed
2.5,0.7857142857142857,0.7000000000000002,2,0.020000000000000018,systematic,False,VMEC convergence failed
2.5,0.7857142857142857,0.7000000000000002,3,0.020000000000000018,systematic,False,VMEC convergence failed
2.5,0.7857142857142857,0.7000000000000002,4,0.5,systematic,False,VMEC convergence failed
2.5,0.7857142857142857,0.8,3,0.020000000000000018,systematic,False,VMEC convergence failed
2.5,0.7857142857142857,0.8,3,0.18,systematic,False,VMEC convergence failed
2.5,0.7857142857142857,0.8,5,0.5,systematic,False,VMEC convergence failed
2.5,1.0285714285714285,0.4,5,-0.3,systematic,False,VMEC convergence failed
2.5,1.0285714285714285,0.4,6,0.18,systematic,False,VMEC convergence failed
2.5,1.0285714285714285,0.5,3,-0.13999999999999999,systematic,False,VMEC convergence failed
2.5,1.0285714285714285,0.5,5,0.020000000000000018,systematic,False,VMEC convergence failed
2.5,1.0285714285714285,0.7000000000000002,5,0.18,systematic,False,VMEC convergence failed
2.5,1.0285714285714285,0.8,4,0.020000000000000018,systematic,False,VMEC convergence failed
2.5,1.0285714285714285,0.8,5,-0.13999999999999999,systematic,False,VMEC convergence failed
2.5,1.0285714285714285,0.8,5,0.5,systematic,False,VMEC convergence failed
2.5,1.2714285714285714,0.2,4,0.5,systematic,False,VMEC convergence failed
2.5,1.2714285714285714,0.2,6,0.020000000000000018,systematic,False,VMEC convergence failed
2.5,1.2714285714285714,0.30000000000000004,6,-0.3,systematic,False,VMEC convergence failed
2.5,1.2714285714285714,0.4,2,0.18,systematic,False,VMEC convergence failed
2.5,1.2714285714285714,0.4,3,0.34,systematic,False,VMEC convergence failed
2.5,1.2714285714285714,0.4,6,0.5,systematic,False,VMEC convergence failed
2.5,1.2714285714285714,0.5,5,-0.3,systematic,False,VMEC convergence failed
2.5,1.2714285714285714,0.5,5,0.020000000000000018,systematic,False,VMEC convergence failed
2.5,1.2714285714285714,0.6000000000000001,6,-0.3,systematic,False,VMEC convergence failed
2.5,1.2714285714285714,0.6000000000000001,6,0.5,systematic,False,VMEC convergence failed
2.5,1.2714285714285714,0.7000000000000002,2,-0.3,systematic,False,VMEC convergence failed
2.5,1.2714285714285714,0.7000000000000002,3,0.020000000000000018,systematic,False,VMEC convergence failed
