aspect_ratio,elongation,rotational_transform,n_field_periods,triangularity,generation_method,success,aspect_ratio_computed,max_elongation,edge_rotational_transform,qi_residual,vacuum_well,computation_time
2.5,0.3,0.2,2,-0.3,systematic,True,2.437980012126111,0.28671619129828857,0.17999637302663352,0.011149818519535785,0.4152942318520312,1.9949273310561313
2.5,0.3,0.2,2,-0.13999999999999999,systematic,True,2.6230383486173268,0.24623468613852903,0.18791358550653128,0.07503846246492964,0.4618483342768861,1.8032464263348995
2.5,0.3,0.2,2,0.020000000000000018,systematic,True,2.307267716268003,0.2720745087338971,0.1699219253455854,0.004080653891448797,0.5271022065165681,0.6056391697424464
2.5,0.3,0.2,2,0.18,systematic,True,2.5362796972810138,0.3488577839478388,0.17800811635904348,0.21082568929914214,0.3539652944575883,1.878979873787795
2.5,0.3,0.2,2,0.34,systematic,True,2.4078594096246624,0.3206413811250272,0.179523297218018,0.05859037558808758,0.5488996356545371,1.450943276984327
2.5,0.3,0.2,2,0.5,systematic,True,2.4976937500856375,0.2778523130720043,0.2236682048118166,0.012238375255978401,0.3237376625453615,1.5580501773785
2.5,0.3,0.2,3,-0.3,systematic,True,2.5140853685984896,0.3303465430391736,0.18575317552290377,0.05750997826265251,0.6120927001283628,1.2446162292616902
2.5,0.3,0.2,3,-0.13999999999999999,systematic,True,2.4795717389180316,0.4299710238929768,0.19129980287462672,0.020829475715863053,0.3933549592254114,1.2360169280878734
2.5,0.3,0.2,3,0.020000000000000018,systematic,True,2.2788500528197195,0.25710055473875615,0.18096508558420574,0.17263870446179397,0.38484189076042324,1.5388611696506023
2.5,0.3,0.2,3,0.18,systematic,True,2.410503770317176,0.305036739076539,0.19882059097082772,0.07991305441203332,0.5100349111125043,1.2710675525857857
2.5,0.3,0.2,3,0.34,systematic,True,2.4621061543642986,0.33951079279704416,0.18196542161118665,0.037217287807316694,0.48851136052886796,1.890790161966013
2.5,0.3,0.2,3,0.5,systematic,True,2.509664131783479,0.32271346253628685,0.21195378641750776,0.18865606534633572,0.5075265279928506,0.9036939564606742
2.5,0.3,0.2,4,-0.3,systematic,True,2.479482468835883,0.2650255830439235,0.22481492418854665,0.0008762840073370721,0.5768535760945798,1.9957188429653674
2.5,0.3,0.2,4,-0.13999999999999999,systematic,True,2.602083858119437,0.30195559848959397,0.2184690379420775,0.10865153053227494,0.4688518206320184,1.7128337756425713
2.5,0.3,0.2,4,0.020000000000000018,systematic,True,2.3886263392707874,0.35324298951058464,0.22048270978050677,0.10458148374908423,0.26873796823470364,1.6548582378258105
2.5,0.3,0.2,4,0.18,systematic,True,2.523248838859911,0.3181358268118424,0.2014639260058014,0.11792073320451135,0.4806943167181141,0.8988882566049392
2.5,0.3,0.2,4,0.34,systematic,True,2.569292282089817,0.29266539292876037,0.22022824116934744,0.007442982211632128,0.4756342083789773,1.5671556783018146
2.5,0.3,0.2,4,0.5,systematic,True,2.622166322799398,0.37028639952603026,0.1927700982049217,0.44329196877713123,0.5146668190645945,1.3004637280192601
2.5,0.3,0.2,5,-0.3,systematic,True,2.542960649349875,0.32148147000843047,0.20875829719834896,0.021612978284388802,0.3741538599691001,0.566249130425066
2.5,0.3,0.2,5,-0.13999999999999999,systematic,True,2.482266628970491,0.25178365329060903,0.19189794431391957,0.14418253036206327,0.5050753615868252,1.91022364127801
2.5,0.3,0.2,5,0.020000000000000018,systematic,True,2.5485788947784282,0.23842813739322535,0.22563794809731677,0.03474208529628064,0.3930604039983674,1.010153133197129
2.5,0.3,0.2,5,0.18,systematic,True,2.6425109959792765,0.23964249093637766,0.20151631133629175,0.07665000278489872,0.6071373885573408,0.8010196652359483
2.5,0.3,0.2,5,0.34,systematic,True,2.639710163431553,0.2790502957075403,0.17921339185432147,0.04110485800242572,0.5409497769834417,1.834057382159386
2.5,0.3,0.2,5,0.5,systematic,True,2.3639027181547885,0.28190267000666164,0.18985969805049058,0.00016466133979884144,0.5462756735057877,1.9820441542357592
2.5,0.3,0.2,6,-0.13999999999999999,systematic,True,2.512049212799477,0.3048069493251146,0.20597235676920633,0.008417785740911647,0.6208140296314835,1.0110450174429493
2.5,0.3,0.2,6,0.020000000000000018,systematic,True,2.5848527876413074,0.3637749076993402,0.21640802384465296,0.022991979885498295,0.4812711665714877,1.258017109568359
2.5,0.3,0.2,6,0.18,systematic,True,2.4177075323240804,0.2864554945252619,0.17725609117292793,0.01740211194037369,0.4914381232169447,1.7337937455331953
2.5,0.3,0.2,6,0.34,systematic,True,2.5415277588956844,0.3111212549396843,0.20896689221747067,0.09365585797492709,0.6040705416614294,1.789077107986876
2.5,0.3,0.2,6,0.5,systematic,True,2.413776609669089,0.36407592786735565,0.17694427010190952,0.08751751408845686,0.5511718628317004,1.434800947591089
2.5,0.3,0.30000000000000004,2,-0.3,systematic,True,2.5164263716439694,0.32054101322159323,0.2873810831724612,0.028128842428573088,0.698058023208332,1.2760500648145774
2.5,0.3,0.30000000000000004,2,-0.13999999999999999,systematic,True,2.5658823225179668,0.2663798228795952,0.3023427416237761,0.08707810886254133,0.5354425926397791,0.8000810175614055
2.5,0.3,0.30000000000000004,2,0.020000000000000018,systematic,True,2.4400277840395215,0.3415623381378047,0.3343676623940074,0.06090020811370975,0.3599395824221775,1.6349589745319486
2.5,0.3,0.30000000000000004,2,0.18,systematic,True,2.4841551276911202,0.23142413849630505,0.30262681166638583,0.039675983134252475,0.5633486523876841,1.6471006577582985
2.5,0.3,0.30000000000000004,2,0.34,systematic,True,2.5004945439712007,0.2923627922954678,0.28617678349911446,0.013067176988540813,0.6260517522510778,1.6378083532782342
2.5,0.3,0.30000000000000004,2,0.5,systematic,True,2.3115949961841658,0.3294512644444808,0.29361822991771763,0.20690132588354346,0.6705228985099203,1.1274299810106245
2.5,0.3,0.30000000000000004,3,-0.3,systematic,True,2.4847716694862516,0.32401341534228145,0.3402801008295071,0.35805626892185205,0.532720858750632,0.5034638816194761
2.5,0.3,0.30000000000000004,3,-0.13999999999999999,systematic,True,2.637829977705967,0.2559830788634464,0.2947883506098812,0.04064943288915207,0.36478703043268923,1.6760613842179701
2.5,0.3,0.30000000000000004,3,0.020000000000000018,systematic,True,2.4631359781014255,0.2993766934538621,0.30561196766981974,0.2833043732787962,0.3058045149825203,1.267539113329561
2.5,0.3,0.30000000000000004,3,0.18,systematic,True,2.50898329704238,0.2579276627639471,0.2868224639488932,0.4364842171951584,0.389459214795272,0.9508294624164545
2.5,0.3,0.30000000000000004,3,0.34,systematic,True,2.4378288163450135,0.3606207408338422,0.29387771899045495,0.10700371665363535,0.6612093826406998,0.9450672696638205
2.5,0.3,0.30000000000000004,3,0.5,systematic,True,2.5794197826443774,0.3051764188082257,0.3192585129827251,0.25991946705888613,0.44392085937289893,0.6574177114802221
2.5,0.3,0.30000000000000004,4,-0.3,systematic,True,2.3599091299401036,0.30939858585220475,0.3357253357770874,0.062142378424818547,0.6145602871623305,1.4781245486969097
2.5,0.3,0.30000000000000004,4,-0.13999999999999999,systematic,True,2.5394780449240986,0.36946831144350994,0.3026840847767993,0.019795784965209465,0.5129720088219457,1.9274617186872829
2.5,0.3,0.30000000000000004,4,0.18,systematic,True,2.448194748480957,0.2594241062844707,0.3101387885997534,0.013043855288118585,0.509733245484582,1.4846599433657752
2.5,0.3,0.30000000000000004,4,0.34,systematic,True,2.309580663762086,0.2825309217784786,0.29049661966491175,0.09428942792239696,0.485037982015762,1.4303514061083382
2.5,0.3,0.30000000000000004,4,0.5,systematic,True,2.4485532840416973,0.36588607525606853,0.316186008295736,0.0014151736741167414,0.4337577406883333,1.3045220295267228
2.5,0.3,0.30000000000000004,5,-0.3,systematic,True,2.2912477074635413,0.35009807557831996,0.2928375197725848,0.05651517144826206,0.5435381462054271,0.98403126067105
